task,episode,total_reward
0,0,-291.64140529243576
0,1,-251.82605366252602
0,2,-94.74216173498228
0,3,-262.96150148669716
0,4,-263.3041283149938
1,5,-3.7481201793783865
1,6,-26.964153568905843
1,7,-30.177172686573932
1,8,-29.366313368892886
1,9,-24.99755215721508
0,10,-241.98966898189462
0,11,-260.1415537321297
0,12,-262.377704911831
0,13,-262.4035017120819
0,14,-261.41330311373383
1,15,-3.6887810835485526
1,16,-12.28225621402273
1,17,-81.65766970483403
1,18,-80.82175983742327
1,19,-24.911351085819042
0,20,-239.941896422518
0,21,-263.7549291081361
0,22,-257.53329997267883
0,23,-260.2225925462432
0,24,-262.1608189951047
1,25,-4.4900657199967515
1,26,-27.455285359761938
1,27,-30.19809453201752
1,28,-27.429101452325906
1,29,-30.120244824630834
0,30,-241.55687552344872
0,31,-263.5781837419757
0,32,-262.7563049742593
0,33,-263.2341059860502
0,34,-263.4130768331209
1,35,-3.742976786789177
1,36,-27.049461514220933
1,37,-28.666507900964323
1,38,-26.683040295050944
1,39,-30.703920677383152
0,40,-229.7911192639628
0,41,-250.55819889452533
0,42,-263.36284547526475
0,43,-256.019983729581
0,44,-262.2636029296835
1,45,-3.623365627247298
1,46,-29.903017624547324
1,47,-24.333299520262504
1,48,-31.078799864473115
1,49,-40.137200210792535
0,50,-144.49730333664937
0,51,-264.06638001599185
0,52,-198.12707665185732
0,53,-266.7102115179422
0,54,-243.50695367379592
1,55,-88.9128555033632
1,56,-38.129784835984644
1,57,-25.119993747842283
1,58,-22.87254330511241
1,59,-24.764446896237846
0,60,-238.06640102558
0,61,-177.62559478960853
0,62,-240.55263516524857
0,63,-127.83993690601545
0,64,-260.8853617525387
1,65,-4.093464435860686
1,66,-30.139562903961192
1,67,-25.092820700945744
1,68,-24.30420723916836
1,69,-24.625266526767422
0,70,-206.57732178606926
0,71,-127.65227593579822
0,72,-57.68906187779659
0,73,-53.82051230513721
0,74,-51.964395242631966
1,75,-11.521358866888745
1,76,-98.45760968772828
1,77,-99.67955352160023
1,78,-64.29313416981287
1,79,-25.467616363413963
0,80,-7.90355746292962
0,81,-142.71543615247393
0,82,-64.56262661126748
0,83,-244.29722059556585
0,84,-241.51464992080042
1,85,-34.01960886944208
1,86,-27.961987478260767
1,87,-28.338537633231848
1,88,-40.65013985127193
1,89,-27.63365628128945
0,90,-246.3568545869553
0,91,-183.72290837727726
0,92,-262.5135574936924
0,93,-262.8236058163182
0,94,-262.5184616765612
1,95,-3.384911434106133
1,96,-24.175247763483082
1,97,-24.282618344242074
1,98,-23.532701086929187
1,99,-28.176343570712923
0,100,-240.89231205086222
0,101,-263.31243844981753
0,102,-262.3109828739544
0,103,-262.6171270850585
0,104,-263.04299029272914
1,105,-4.580574254488703
1,106,-24.165492436425566
1,107,-25.650932374995598
1,108,-24.435721704956624
1,109,-26.638942835905723
0,110,-244.46326414665197
0,111,-262.7307812264648
0,112,-262.15651461715987
0,113,-99.8226179481598
0,114,-172.56330390547876
1,115,-3.1774344276372606
1,116,-18.59414638648134
1,117,-28.435368993175477
1,118,-23.820931640764037
1,119,-24.71530815039178
0,120,-137.24109347364183
0,121,-242.58340523456002
0,122,-111.69329625895492
0,123,-262.5424903594398
0,124,-260.28677413761733
1,125,-4.421513988400924
1,126,-28.788885415713953
1,127,-23.66349044896236
1,128,-25.554919179738697
1,129,-26.55965840077126
0,130,-154.41815925299014
0,131,-253.68433989782125
0,132,-249.87912087821468
0,133,-158.92304073749975
0,134,-121.48572202210022
1,135,-2.4159790805979444
1,136,-15.030534685254173
1,137,-18.008549969970744
1,138,-15.687489218529288
1,139,-13.07690556651812
0,140,-5.628555757599468
0,141,-129.2352786638803
0,142,-116.12777379476593
0,143,-136.11683746832762
0,144,-95.80850522988344
1,145,-2.0770323068159517
1,146,-23.364872957125872
1,147,-23.797208924406817
1,148,-23.488250058551326
1,149,-24.31907161023474
0,150,-35.079572867336324
0,151,-56.15591014037045
0,152,-53.92378407571932
0,153,-57.69140292315074
0,154,-51.03980720638155
1,155,-1.6045121714011983
1,156,-26.930996578792996
1,157,-31.277438808274397
1,158,-94.62701241261523
1,159,-50.32158180710792
0,160,-102.45168637374559
0,161,-140.75526434147875
0,162,-115.45641897121911
0,163,-251.54035004948562
0,164,-263.6783639429495
1,165,-3.3302066913286135
1,166,-22.937677289120135
1,167,-21.803430078728486
1,168,-22.87871397856194
1,169,-22.076586683686852
0,170,-102.09948094018753
0,171,-175.1282357465493
0,172,-71.56873314707913
0,173,-116.98211301905074
0,174,-92.75933217258947
1,175,-3.912437067292741
1,176,-37.83236922464501
1,177,-17.500747609073663
1,178,-10.342261047570693
1,179,-12.854245876550987
0,180,-0.17089527919944375
0,181,-145.87935384365943
0,182,-72.82967228387932
0,183,-69.97116641916375
0,184,-261.2839384148449
1,185,-2.151528609682856
1,186,-23.55356170122998
1,187,-24.943201318285073
1,188,-30.291660772420823
1,189,-26.201393371987212
0,190,-241.18445481783104
0,191,-262.4175746837725
0,192,-263.1409961836605
0,193,-261.9644655828274
0,194,-262.8854077440359
1,195,-6.302817975738721
1,196,-27.151365830208004
1,197,-25.76703609134553
1,198,-24.039940719669513
1,199,-27.26646422681372
0,200,-241.74728609993502
0,201,-262.3041873060544
0,202,-262.17208983353987
0,203,-263.1831159126471
0,204,-258.71337050549215
1,205,-3.1274189531899754
1,206,-24.928822616817897
1,207,-25.22782665584845
1,208,-45.7348694602204
1,209,-26.75596637789325
0,210,-242.39011728037605
0,211,-263.526572390357
0,212,-263.5637571969534
0,213,-262.1356625763814
0,214,-262.68494905164107
1,215,-3.9930071120868993
1,216,-24.11237439913806
1,217,-26.559208362835076
1,218,-23.774366151008405
1,219,-32.08366708573478
0,220,-242.2257966322086
0,221,-261.9806162872591
0,222,-262.7328892599622
0,223,-262.97286006906694
0,224,-264.10352982239397
1,225,-3.10509526620647
1,226,-28.89705430341795
1,227,-32.41901032700468
1,228,-26.15552854888111
1,229,-25.840276672194072
0,230,-242.23776533319653
0,231,-262.47581482142033
0,232,-264.0336785793447
0,233,-262.50178806507586
0,234,-262.73952780619254
1,235,-4.364888056925771
1,236,-28.03815804931949
1,237,-26.312173695520965
1,238,-24.835373915892838
1,239,-30.137893512630196
0,240,-244.63592430980643
0,241,-263.73527729011334
0,242,-262.6854009449001
0,243,-262.91889274584975
0,244,-263.46801631177743
1,245,-6.589191612975151
1,246,-24.055900935064685
1,247,-55.61817693446327
1,248,-42.47616762452454
1,249,-26.92702845730767
0,250,-242.21437254508479
0,251,-262.1045275631594
0,252,-263.05060181975824
0,253,-262.10192622216783
0,254,-263.1496570229074
1,255,-4.49452733854084
1,256,-27.204360532421525
1,257,-26.965697289429897
1,258,-26.37718319827299
1,259,-24.5906631416378
0,260,-242.6726431557908
0,261,-263.2194853954693
0,262,-247.2845594171763
0,263,-210.4654685527813
0,264,-207.4604597109572
1,265,-9.833740314649443
1,266,-28.01981319929902
1,267,-25.7015079472362
1,268,-11.43003333770496
1,269,-9.085966118320362
0,270,-4.4295897155135835
0,271,-137.35964148387896
0,272,-263.1328163497425
0,273,-262.06200819829763
0,274,-262.6212119207307
1,275,-7.787067138961454
1,276,-25.57960733332328
1,277,-28.24880169077507
1,278,-27.288644095903656
1,279,-22.828430511810026
0,280,-240.96521064049648
0,281,-263.6035883931962
0,282,-262.79610797747205
0,283,-263.4340360576684
0,284,-263.2165297291922
1,285,-6.0001846396383645
1,286,-47.39194885841157
1,287,-30.34892767983623
1,288,-32.206643737485095
1,289,-42.51646935477063
0,290,-240.48133621798434
0,291,-263.7175806948617
0,292,-264.55214092967253
0,293,-263.0093872827676
0,294,-263.03269700107023
1,295,-3.710715009927632
1,296,-26.374952336936477
1,297,-23.474641211503243
1,298,-25.559588001239014
1,299,-24.75589317383274
0,300,-243.1183131364213
0,301,-263.48570748015504
0,302,-264.01935519031383
0,303,-264.22929770881535
0,304,-263.0210866024275
1,305,-5.590135753055977
1,306,-31.430810617757945
1,307,-24.418917650523095
1,308,-30.236036040896344
1,309,-25.515406909030048
0,310,-242.95412516644834
0,311,-247.1006153673919
0,312,-232.65503689719188
0,313,-239.36911061853067
0,314,-221.51627968551622
1,315,-2.239156597755953
1,316,-23.61227517420895
1,317,-25.930554459149565
1,318,-33.55966854788497
1,319,-31.451936656152114
0,320,-192.520924447714
0,321,-263.21168095175267
0,322,-262.9929333581716
0,323,-262.26104034248795
0,324,-264.087177484641
1,325,-3.5769635962688526
1,326,-29.432851453422423
1,327,-27.860969164932108
1,328,-26.377382704460075
1,329,-24.65969481882138
0,330,-241.8161240417912
0,331,-263.29967133156975
0,332,-263.7518939468879
0,333,-263.7814890642905
0,334,-262.4505100105416
1,335,-3.557548795798364
1,336,-27.12260071656239
1,337,-26.95739822307524
1,338,-26.3239720469969
1,339,-30.35814381334922
0,340,-242.19215641072572
0,341,-263.16278089927306
0,342,-262.1772352107808
0,343,-262.1564266794262
0,344,-263.0879285635291
1,345,-3.1729557551093133
1,346,-31.578214010752365
1,347,-26.73945370046999
1,348,-25.227086884224782
1,349,-27.155698902375985
0,350,-240.4041882900308
0,351,-152.4901279113528
0,352,-146.97045166068588
0,353,-249.86897357001908
0,354,-263.0960149806632
1,355,-3.577274431464343
1,356,-29.134299167872364
1,357,-26.74299591419114
1,358,-24.412025721558567
1,359,-28.19490477387328
0,360,-241.56819145459446
0,361,-264.0042790204159
0,362,-262.83556586847675
0,363,-262.2240353786789
0,364,-263.7153195014398
1,365,-3.2058749203616217
1,366,-27.95380955013055
1,367,-24.360563332666676
1,368,-25.732762936057437
1,369,-26.3750023378361
0,370,-239.8759103833844
0,371,-261.66953547135404
0,372,-263.60362153005616
0,373,-261.29327747356933
0,374,-262.3858037911848
1,375,-3.9396415565110314
1,376,-24.364585190966423
1,377,-26.954319460623342
1,378,-32.35932468580454
1,379,-28.562890450758314
0,380,-244.12353569779197
0,381,-263.76989892416054
0,382,-263.027502698865
0,383,-263.58858355068895
0,384,-262.96572809138
1,385,-3.6913168432966494
1,386,-28.41362142904623
1,387,-27.438071985052698
1,388,-26.5892994224223
1,389,-24.278715690988534
0,390,-240.978484034836
0,391,-178.2369252125167
0,392,-129.44788971194455
0,393,-65.69516310261955
0,394,-122.83985777641274
1,395,-4.08288661165518
1,396,-25.84172234244739
1,397,-30.605088292473006
1,398,-25.590004317005064
1,399,-24.164838996225974
0,400,-2.7019536953005248
0,401,-209.8313755198886
0,402,-222.04106588450597
0,403,-250.1666947774164
0,404,-261.2379830198974
1,405,-4.042785762823695
1,406,-32.44602640289374
1,407,-25.18539277876893
1,408,-23.58693909881649
1,409,-44.21199777087839
0,410,-239.9477679748438
0,411,-262.96884954514445
0,412,-263.102550327066
0,413,-262.592433147663
0,414,-261.12583477667386
1,415,-3.9574953288996437
1,416,-26.434313724737642
1,417,-28.93283161139391
1,418,-28.9056986328222
1,419,-25.729977656117452
0,420,-238.1646445197774
0,421,-262.96214035846634
0,422,-261.7675450217944
0,423,-262.2830954931997
0,424,-262.39490902672884
1,425,-3.395555995048409
1,426,-26.089247222919695
1,427,-23.52297883716848
1,428,-27.467137316313018
1,429,-29.320218221980326
0,430,-240.5862072618956
0,431,-262.0478204876865
0,432,-259.9718846563941
0,433,-263.0430250040829
0,434,-264.25712272205715
1,435,-3.794679201585075
1,436,-35.69515155168342
1,437,-29.63639341612197
1,438,-24.278847796339587
1,439,-25.95739199277515
0,440,-241.38817137080628
0,441,-262.85563620431594
0,442,-262.4183654777613
0,443,-260.6639193753848
0,444,-262.31143812008474
1,445,-3.441121502256875
1,446,-38.46312870678209
1,447,-34.351594134493666
1,448,-25.746514213070903
1,449,-34.74217457596801
0,450,-240.59874355338675
0,451,-263.4199329664677
0,452,-262.8265073809843
0,453,-261.40401242594237
0,454,-262.4601334394125
1,455,-4.843120243331471
1,456,-25.266527994061466
1,457,-23.969622664724987
1,458,-24.446971655320116
1,459,-25.54626700422638
0,460,-241.57058893909564
0,461,-259.643748237113
0,462,-262.2807610383063
0,463,-262.51164966765907
0,464,-261.30270383536634
1,465,-7.92033611826196
1,466,-39.47774404420071
