episode,total_reward
1,-0.4204842361839661
2,-0.01587051216303853
3,-0.23783526989162837
4,-0.17515102378042163
5,-0.1487702459387271
6,-0.1358413559906444
7,-0.10940289696562931
8,-0.11328162025237401
9,-0.0814028960189746
10,-0.06564304631732057
11,-0.06668050088047232
12,-0.06295249660908303
13,-0.06044166416223973
14,-0.06157058865236843
15,-0.06253466770990027
16,-0.27760974462675875
17,-0.06442822563568863
18,-0.06497789590472879
19,-0.06713091659165986
20,-0.06933611302267502
21,-0.06522515461634551
22,-0.06432853339349444
23,-0.06302142921918538
24,-0.07102055566339327
25,-0.2512039648524765
26,-0.19999241592778225
27,-0.18466289750076978
28,-0.1751877294181253
29,-0.12963438908767952
30,-0.15363236847369469
31,-0.26007018745964844
32,-0.15528033632692917
33,-0.4449124484925664
34,-0.43094855494120027
35,-0.34293001150983005
36,-0.4392456198206532
37,-0.8364058497121547
38,-0.4249667003899832
39,-0.5905754144049763
40,-0.41289695773831087
41,-0.43374321467094745
42,-0.4076917054472111
43,-0.5202330471250928
44,-1.0811255127519492
45,-0.4171681520779962
46,-0.4711657031556661
47,-0.7008517201966507
48,-0.42740561362368024
49,-0.6998681092153142
50,-0.6817873822439066
51,-0.6879310250450686
52,-0.7110715512694858
53,-0.9627459439008003
54,-0.6869559739357551
55,-0.7281382582553082
56,-0.7040445401975641
57,-0.4100555840668515
58,-0.16994084863802567
59,-0.4538626309370755
60,-0.5374684077538733
61,-0.3969421254803403
62,-0.6282191220416505
63,-0.4138280789081219
64,-1.019907407828864
65,-0.5711057093859916
66,-0.5233678356885281
67,-0.5604082658922902
68,-0.49389201399105626
69,-0.5095664100913961
70,-0.46441780409689637
71,-0.4442847675110248
72,-0.46116840891601485
73,-0.45874382194962265
74,-0.37413404226616465
75,-0.48699898294488597
76,-0.44923788666231634
77,-0.41380438121539753
78,-0.4860982573088824
79,-0.38149096516756653
80,-0.4421385993007294
81,-0.3057209025453405
82,-0.5103340219383826
83,-0.48086839543729876
84,-0.5683924127634088
85,-0.4742102392172464
86,-1.1066733709525665
87,-0.49409507773287487
88,-0.5401368635427404
89,-0.4760870424080513
90,-0.5046275937711293
91,-0.5634837391070951
92,-0.6149766199330126
93,-0.4289690093588454
94,-0.4551666791490018
95,-0.49893511581071853
96,-0.4532463620246489
97,-0.9191440987489325
98,-0.5189317417270912
99,-0.7630627288937515
100,-0.5563060412840795
101,-0.5683498589785763
102,-0.39579878963806836
103,-1.5385681720743778
104,-0.1674819123952232
105,-0.14800536980711856
106,-0.41980616377867913
107,-0.23365023788860126
108,-0.1998017629186972
109,-0.11594595910385137
110,-0.17438330993036977
111,-0.23563220891241374
112,-0.5912238828703352
113,-0.29952466149279244
114,-0.33429172325550915
115,-0.3280591837119167
116,-0.36219075857967137
117,-0.47197592213819484
118,-0.5355125603925106
119,-0.48962933561085603
120,-0.501580370794861
121,-0.4769709025522082
122,-0.5747754177902243
123,-0.45972203811029216
124,-0.37705994435201595
125,-0.4533391124060398
126,-1.0392924567302924
127,-1.3800629212085713
128,-0.6023163371068125
129,-0.5484640116309236
130,-0.6632334104940503
131,-0.4777535863007299
132,-0.4610463268459212
133,-0.3400561377821656
134,-0.49117268565410455
135,-0.538265966678636
136,-0.47985753005532067
137,-0.565032104535243
138,-0.5495651839286809
139,-0.4683596861713638
140,-0.4674960639002958
141,-0.5363089072981463
142,-0.8711617947712562
143,-0.4906358506776134
144,-0.4730699120184718
145,-0.7251845416931579
146,-0.5171640637922214
147,-0.7866504559976163
148,-0.409034438425885
149,-1.2576201557773958
150,-0.40400934958745793
151,-0.40476543794330716
152,-0.6792171940800592
153,-0.8403286091467507
154,-0.4961734943023569
155,-0.5049794776072433
156,-0.4083556769725059
157,-0.4650601421700657
158,-0.5970514802308876
159,-0.4744176515694844
160,-0.37531194007042673
161,-0.33898199921724215
162,-0.3056214643002338
163,-0.25770365498015513
164,-0.31633520109297875
165,-0.3688748067985116
166,-0.30014592009440627
167,-0.348125627341292
168,-0.43834518547520307
169,-0.4343631737942838
170,-0.17283646551781728
171,-0.3393895586008906
172,-0.4497250124568669
173,-0.41683644395854463
174,-0.3812984743347394
175,-0.3842099125877546
176,-0.4774533209828699
177,-0.4244278464699942
178,-0.529101927620727
179,-0.3363184444107276
